bar,tempo,meter,beat,clickdb,action 0,action 1,action 2,action 3,comments,,
122,,,5,,h,,,,,,
123,448,2,1,,,h,,,,,
123,,,2,,,,h,,,,
124,424,,1,,,,,h,,,
124,,,2,,h,,,,,,
125,392,,1,,,h,,,,,
125,,,2,,,,h,,,,
126,537.6,5,1,,,,,h,,,
126,,,2,,h,,,,,,
126,,,3,,,h,,,,,
126,,,4,,,,h,,,,
126,,,5,,,,,h,,,
127,448,2,1,,h,,,,,,
127,,,2,,,h,,,,,
128,416,,1,,,,h,,,,
128,,,2,,,,,h,,,
129,384,,1,,h,,,,,,
129,,,2,,,h,,,,,
130,353,,1,,,,h,,,,
130,,,2,,,,,h,,,
131,537.6,5,1,,h,,,,,,
131,,,2,,,h,,,,,
131,,,3,,,,h,,,,
131,,,4,,,,,h,,,
131,,,5,,h,,,,,,
132,448,2,1,,,h,,,,,
132,,,2,,,,h,,,,
133,224,1,1,,,,,h,,,
134,537.6,5,1,,h,,,,,,
134,,,2,,,h,,,,,
134,,,3,,,,h,,,,
134,,,4,,,,,h,,,
134,,,5,,h,,,,,,
135,448,2,1,,,h,,,,,
135,,,2,,,,h,,,,
136,400,,1,,,,,h,,,
136,,,2,,h,,,,,,
137,352,,1,,,h,,,,,
137,,,2,,,,h,,,,
138,200,1,1,,,,,h,,,
139,537.6,5,1,,h,,,,,,
139,,,2,,,h,,,,,
139,,,3,,,,h,,,,
139,,,4,,,,,h,,,
139,,,5,,h,,,,,,
140,320,2,1,,,h,,,,,
140,,,2,,,,h,,,,
141,180,1,1,,,,,h,,,
142,537.6,5,1,,h,,,,,,
142,,,2,,,h,,,,,
142,,,3,,,,h,,,,
142,,,4,,,,,h,,,
142,,,5,,h,,,,,,
143,496,2,1,,,h,,,,,
143,,,2,,,,h,,,,
144,537.6,,1,,,,,h,,,
144,,,2,,h,,,,,,
145,480,,1,,,h,,,,,
145,,,2,,,,h,,,,
146,537.6,3,1,,,,,h,,,
146,,,2,,h,,,,,,
146,,,3,,,h,,,,,
147,464,2,1,,,,h,,,,
147,,,2,,,,,h,,,
148,537.6,3,1,,h,,,,,,
148,,,2,,,h,,,,,
148,,,3,,,,h,,,,
149,448,2,1,,,,,h,,,
149,,,2,,h,,,,,,
150,320,,1,,,h,,,,,
150,,,2,,,,h,,,,
151,160,1,1,,,,,h,,,
152,537.6,5,1,,h,,,,,,
152,,,2,,,h,,,,,
152,,,3,,,,h,,,,
152,,,4,,,,,h,,,
152,,,5,,h,,,,,,
153,496,3,1,,,h,,,,,
153,,,2,,,,h,,,,
153,,,3,,,,,h,,,
154,537.6,2,1,,h,,,,,,
154,,,2,,,h,,,,,
155,464,3,1,,,,h,,,,
155,,,2,,,,,h,,,
155,,,3,,h,,,,,,
156,537.6,4,1,,,h,,,,,
156,,,2,,,,h,,,,
156,,,3,,,,,h,,,
156,,,4,,h,,,,,,
157,320,2,1,,,h,,,,,
157,,,2,,,,h,,,,
158,152,1,1,,,,,h,,,
159,537.6,4,1,,,h,,,,,
159,,,2,,,,h,,,,
159,,,3,,,,,h,,,
159,,,4,,h,,,,,,
160,320,2,1,,,h,,,,,
160,,,2,,,,h,,,,
161,152,1,1,,,,,h,,,
162,527.6,4,1,,h,,,,,,
162,,,2,,,h,,,,,
162,,,3,,,,h,,,,
162,,,4,,,,,h,,,
163,496,3,1,,h,,,,,,
163,,,2,,,h,,,,,
163,,,3,,,,h,,,,
164,537.6,,1,,,,,h,,,
164,,,2,,h,,,,,,
164,,,3,,,h,,,,,
165,488,2,1,,,,h,,,,
165,,,2,,,,,h,,,
166,537.6,5,1,,h,,,,,,
166,,,2,,,h,,,,,
166,,,3,,,,h,,,,
166,,,4,,,,,h,,,
166,,,5,,h,,,,,,
167,320,2,1,,,h,,,,,
167,,,2,,,,h,,,,
168,152,1,1,,,,,h,,,
169,537.6,5,1,,h,,,,,,
169,,,2,,,h,,,,,
169,,,3,,,,h,,,,
169,,,4,,,,,h,,,
169,,,5,,h,,,,,,
170,320,2,1,,,h,,,,,
170,,,2,,,,h,,,,
171,152,1,1,,,,,h,,,
172,537.6,5,1,,h,,,,,,
172,,,2,,,h,,,,,
172,,,3,,,,h,,,,
172,,,4,,,,,h,,,
172,,,5,,h,,,,,,
173,448,2,1,,,h,,,,,
173,,,2,,,,h,,,,
174,152,1,1,,,,,h,,,
175,537.6,5,1,,h,,,,,,
175,,,2,,,h,,,,,
175,,,3,,,,h,,,,
175,,,4,,,,,h,,,
175,,,5,,h,,,,,,
176,496,2,1,,,h,,,,,
176,,,2,,,,h,,,,
177,537.6,5,1,,,,,h,,,
177,,,2,,h,,,,,,
177,,,3,,,h,,,,,
177,,,4,,,,h,,,,
177,,,5,,,,,h,,,
178,492,2,1,,h,,,,,,
178,,,2,,,h,,,,,
179,537.6,5,1,,,,h,,,,
179,,,2,,,,,h,,,
179,,,3,,h,,,,,,
179,,,4,,,h,,,,,
179,,,5,,,,h,,,,
180,488,2,1,,,,,h,,,
180,,,2,,h,,,,,,
181,537.6,5,1,,,h,,,,,
181,,,2,,,,h,,,,
181,,,3,,,,,h,,,
181,,,4,,h,,,,,,
181,,,5,,,h,,,,,
182,484,2,1,12,,,h,,,,
182,,,2,,,,,h,,,
183,537.6,5,1,,h,,,,,,
183,,,2,,,h,,,,,
183,,,3,,,,h,,,,
183,,,4,,,,,h,,,
183,,,5,,h,,,,,,
184,480,2,1,,,h,,,,,
184,,,2,,,,h,,,,
185,537.6,4,1,,,,,h,,,
185,,,2,,h,,,,,,
185,,,3,,,h,,,,,
185,,,4,,,,h,,,,
186,476,3,1,,,,,h,,,
186,,,2,,h,,,,,,
186,,,3,,,h,,,,,
187,537.6,,1,,,,h,,,,
187,,,2,,,,,h,,,
187,,,3,,h,,,,,,
188,472,2,1,,,h,,,,,
188,,,2,,,,h,,,,
189,64,1,1,,,,,h,in quavers,,
190,72,2,1,,h,,,,,,
190,,,2,,,h,,,,,
191,80,,1,,,,h,,,,
191,,,2,,,,,h,,,
192,88,,1,-60,h,,,,,,
192,,,2,,,h,,,,,
193,92,,1,,,,h,,,,
193,,,2,,,,,h,,,
194,96,,1,,h,,,,,,
194,,,2,,,h,,,,,
195,100,,1,,,,h,,,,
195,,,2,,,,,h,,,
196,104,,1,,h,,,,,,
196,,,2,,,h,,,,,
197,108,,1,,,,h,,,,
197,,,2,,,,,h,,,
198,112,4,1,12,,,h,,,,
198,,,2,,,h,,,,,
198,,,3,,,,h,,,,
198,,,4,,,,,h,,,
199,,,1,,,,h,,,,
199,,,2,,,h,,,,,
199,,,3,,,,h,,,,
199,,,4,,,,,h,,,
200,,,1,,,,h,,,,
200,,,2,,,h,,,,,
200,,,3,,,,h,,,,
200,,,4,,,,,h,,,
201,,3,1,,,,h,,,,
201,,,2,,,h,,,,,
201,,,3,,h,,,,,,
201,,,3.25,,,h,,,,,
201,,,3.5,,,,h,,,,
201,,,3.75,,,,,h,,,
202,,4,1,,h,,,,,,
202,,,3,,,h,,,,,
202,,,4.25,,,,h,,,,
202,,,4.5,,,,,h,,,
202,,,4.75,,h,,,,,,
203,,,1,,,h,,,,,
203,,,3,,,,h,,,,
203,,,3.2,,,,,h,,,
203,,,3.4,,h,,,,,,
203,,,3.6,,,h,,,,,
203,,,3.8,,,,h,,,,
203,,,4,,,,,h,,,
204,,,2,,h,,,,,,
204,,,2.25,,,h,,,,,
204,,,3,,,,h,,,,
204,,,3.25,,,,,h,,,
204,,,4,,h,,,,,,
204,,,4.25,,,h,,,,,
205,,,1,,,,h,,,,
205,,,1.25,,,,,h,,,
205,,,2,,h,,,,,,
205,,,2.25,,,h,,,,,
205,,,3,,,,h,,,,
206,,2,1,,,,,h,,,
206,,,1.2,,h,,,,,,
206,,,1.4,,,h,,,,,
206,,,1.6,,,,h,,,,
206,,,1.8,,,,,h,,,
206,,,2,,h,,,,,,
207,,5,2,,h,,,,,,
207,,,2.2,,,h,,,,,
207,,,2.4,,,,h,,,,
207,,,2.6,,,,,h,,,
207,,,2.8,,h,,,,,,
207,,,3,,,h,,,,,
207,,,4,,h,,h,,,,
207,,,4.25,,,h,,,,,
207,,,4.75,,,,,h,,,
207,,,5,,h,,,,,,
208,,6,2,,h,,,,,,
208,,,2.2,,,h,,,,,
